value_id,attribute_id,store_id,row_id,entity,value,brand-name,category_id,brand-name,QUERRY
136030,157,0,198,166,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,166);"
136031,157,0,199,167,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,167);"
136032,157,0,200,168,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,168);"
135014,157,0,201,169,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,169);"
135015,157,0,202,170,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,170);"
135016,157,0,203,171,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,171);"
135017,157,0,206,172,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,172);"
135018,157,0,207,173,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,173);"
135019,157,0,208,174,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,174);"
135020,157,0,209,175,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,175);"
2478,157,0,210,176,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,176);"
2567,157,0,218,177,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,177);"
2578,157,0,219,178,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,178);"
2588,157,0,220,179,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,179);"
135021,157,0,221,180,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,180);"
135022,157,0,222,181,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,181);"
135023,157,0,223,182,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,182);"
135024,157,0,224,183,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,183);"
135025,157,0,225,184,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,184);"
135026,157,0,226,185,19,13 FISHING,282,13 FISHING,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (282,185);"
135975,157,0,227,186,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,186);"
135976,157,0,228,187,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,187);"
135977,157,0,229,188,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,188);"
135978,157,0,230,189,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,189);"
135979,157,0,231,190,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,190);"
135980,157,0,232,191,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,191);"
135981,157,0,233,192,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,192);"
135982,157,0,234,193,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,193);"
135983,157,0,235,194,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,194);"
135984,157,0,236,195,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,195);"
135985,157,0,237,196,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,196);"
135986,157,0,238,197,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,197);"
135987,157,0,239,198,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,198);"
135988,157,0,240,199,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,199);"
135989,157,0,241,200,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,200);"
135990,157,0,242,201,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,201);"
135991,157,0,243,202,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,202);"
135992,157,0,244,203,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,203);"
135993,157,0,245,204,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,204);"
135994,157,0,246,205,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,205);"
135995,157,0,247,206,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,206);"
135996,157,0,248,207,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,207);"
135997,157,0,249,208,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,208);"
135998,157,0,250,209,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,209);"
136033,157,0,264,221,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,221);"
136034,157,0,265,222,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,222);"
136035,157,0,266,223,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,223);"
136036,157,0,267,224,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,224);"
136037,157,0,268,225,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,225);"
136038,157,0,269,226,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,226);"
136039,157,0,270,227,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,227);"
136040,157,0,271,228,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,228);"
136041,157,0,272,229,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,229);"
136042,157,0,273,230,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,230);"
136043,157,0,274,231,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,231);"
136044,157,0,275,232,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,232);"
136045,157,0,276,233,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,233);"
136046,157,0,277,234,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,234);"
136047,157,0,278,235,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,235);"
136048,157,0,279,236,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,236);"
136049,157,0,280,237,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,237);"
136050,157,0,281,238,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,238);"
136051,157,0,282,239,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,239);"
136052,157,0,283,240,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,240);"
136053,157,0,284,241,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,241);"
135670,157,0,285,242,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,242);"
135671,157,0,286,243,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,243);"
135672,157,0,287,244,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,244);"
135673,157,0,288,245,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,245);"
135674,157,0,289,246,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,246);"
135675,157,0,290,247,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,247);"
135676,157,0,291,248,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,248);"
135677,157,0,292,249,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,249);"
135678,157,0,293,250,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,250);"
135679,157,0,294,251,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,251);"
135680,157,0,295,252,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,252);"
135681,157,0,296,253,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,253);"
